input file name	correct diagnosis source	correct diagnosis	gpt diagnosis	Score (0-5)	Rank	Rank (Peter)	Rank (Justin)		Score (Peter)	Score (Justin)	Score (Daniel)	Range
PMID_33882209-phenopacket-time-based_query.txt	Manual paste-in	Varicella–zoster virus infection.	Most likely diagnosis: Recurrence of testicular cancer metastatic to the frontal scalp and surrounding ocular region.      Differential diagnosis, ranked by probability:      1. Recurrence of testicular cancer metastatic to the frontal scalp and surrounding ocular region  2. Secondary skin neoplasm unrelated to previous testicular cancer  3. Severe sinusitis causing secondary symptoms in the eye and forehead region  4. Allergic contact dermatitis causing rash and edema  5. Herpes zoster (shingles) involving the frontal scalp and eye  6. Systemic lupus erythematosus with dermatologic symptoms  7. Advanced macular degeneration causing adjacent inflammation  8. Giant cell arteritis with ocular involvement  9. Severe conjunctivitis causing chemosis and eyelid edema  10. Atypical presentation of restless legs syndrome with facial involvement  Here, the most likely diagnosis and the differentials are ranked by probability from most to least, which includes consideration of the patient's past medical history as well as his current clinical presentation and symptomology.	5	5	5	5		5	5		0
PMID_33979492-phenopacket-time-based_query.txt	Manual paste-in	Final diagnosis - Babesiosis Pathological diagnosis - Babesiosis-induced hemolytic anemia	Most Likely Diagnosis: Chronic Myeloid Leukemia      Differential Diagnosis:     1. Chronic Lymphocytic Leukemia  2. Myelofibrosis  3. Lymphoma  4. Acute Myeloid Leukemia  5. Autoimmune Hemolytic Anemia  6. Polycythemia Vera  7. Myelodysplastic Syndrome  8. Paroxysmal Nocturnal Hemoglobinuria  9. Post-polycythemia Vera Myelofibrosis  10. Systemic Lupus Erythematosus.	0	-1	-1	-1		0	0		0
PMID_34010534-phenopacket-time-based_query.txt	Manual paste-in	Lactic acidosis due to toxic effects from metfor- min use.	Most likely diagnosis: Acute Kidney Injury secondary to Congestive Heart Failure and/or type 2 Diabetes Mellitus     Differential diagnosis, ranked by probability:     1. Diabetic Nephropathy  2. Acute Kidney Injury secondary to dehydration (from diarrhea and nausea)  3. Heart Failure-induced Renal Ischemia  4. Chronic Kidney Disease secondary to longstanding hypertension and diabetes  5. Hypervolemia secondary to Heart Failure  6. Acute Tubular Necrosis  7. Obstructive Uropathy  8. Co-existing Urinary Tract Infection leading to Sepsis and Acute Kidney Injury  9. Prerenal Azotemia due to severe volume depletion after diarrhea  10. Acute Interstitial Nephritis due to potential unknown drug interactions  11. Hepatorenal Syndrome secondary to potential liver disease not mentioned in the history.	0	-1	-1	10		0	0		0
PMID_34042393-phenopacket-time-based_query.txt	Manual paste-in	Staphylococcus aureus bacteremia and infection of a vascular graft.	Based on the information provided, my most likely diagnosis is:     Abdominal Aortic Aneurysm (AAA) with secondary infection.     For the differential diagnosis, ranked by their likelihood:     1. Abdominal Aortic Aneurysm (AAA) with secondary infection  2. Marfan syndrome causing aortic dilatation with acute abdomen  3. Ehlers-Danlos syndrome leading to aortic dilatation and abdominal pain  4. Infective Endocarditis affecting the aortic valve and causing referred abdominal pain  5. Takayasu arteritis causing aortic dilatation and abdominal complaints  6. Non-rheumatic Aortic (valve) disease leading to abdominal complaints  7. Coarctation of the aorta causing abdominal symptoms.	3	4	4	4		3	3		0
PMID_34107184-phenopacket-time-based_query.txt	Manual paste-in	Clinical diagnosis: Acquired clotting-factor inhibitor Pathological diagnosis: Acquired factor VIII inhibitor. Final diagnosis: Acquired factor VIII inhibitor.	Given the information provided, my most likely diagnosis is:     Upper extremity deep vein thrombosis (UEDVT)      The robust differential diagnosis, from most to least likely, includes:     1. Upper extremity deep vein thrombosis  2. Cellulitis  3. Hematoma secondary to trauma   4. Necrotizing fasciitis  5. Limb ischemia due to peripheral arterial disease  6. Venous insufficiency  7. Arterial thrombosis  8. Lymphatic obstruction  9. Cyst or abscess formation   10. Compartment syndrome.	0	-1	-1	-1		0	0		0
PMID_34133863-phenopacket-time-based_query.txt	Manual paste-in	Final diagnosis: Pneumonia associated with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection and acute pulmonary embolism.	Most Likely Diagnosis:   Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection, commonly known as COVID-19.     Differential Diagnosis, from most to least likely:  1. Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection, leading to COVID-19 pneumonia  2. Exacerbation of underlying chronic obstructive pulmonary disease (COPD) complicated by infection  3. Bacterial pneumonia  4. Congestive heart failure presenting as acute pulmonary edema  5. Aspiration pneumonia due to falls, potentially an underlying neurologic condition  6. Influenza A/B infection  7. Other viral pneumonia, such as respiratory syncytial virus (RSV)  8. Pulmonary embolism   9. Lung cancer presenting with post-obstructive pneumonia  10. Interstitial lung disease exacerbation.	3	1	1	1		3	3		0
PMID_34161710-phenopacket-time-based_query.txt	Manual paste-in	Delayed posthypoxic leukoencephalopathy.	Most Likely Diagnosis: Paraneoplastic neurologic syndrome associated with squamous cell carcinoma of the tongue     Differential Diagnosis:  1. Paraneoplastic neurologic syndrome associated with squamous cell carcinoma of the tongue  2. Neurological metastasis of squamous cell carcinoma   3. Medication-induced cognitive impairment  4. Delirium secondary to acute aspiration pneumonia   5. Stroke or Transient Ischemic Attack (TIA)   6. Encephalitis or other neurological infection  7. Autoimmune encephalopathy   8. Neurodegenerative disorder such as Frontotemporal dementia or Alzheimer's disease  9. Vitamin B12 or Thiamine deficiency causing cognitive impairment  10. Alcohol or drug induced cognitive impairment.	2	-1	-1	7		2	2		0
PMID_34233100-phenopacket-time-based_query.txt	Manual paste-in	Cerebellar ataxia, neuropathy, and vestibular areflexia syndrome due to a biallelic expansion in RFC1.	Based on the provided clinical information, my most likely diagnosis is:      Spinocerebellar Ataxia     In order of decreasing likelihood, my comprehensive differential diagnosis is:     1. Spinocerebellar Ataxia  2. Multiple System Atrophy  3. Cerebellar variant of Multiple System Atrophy (MSA-C)  4. Olivo-Ponto-Cerebellar Atrophy (OPCA)  5. Cerebellar form of Alzheimer's disease  6. Autosomal Recessive Cerebellar Ataxia  7. Cerebral Autosomal Dominant Arteriopathy with Sub-cortical Infarcts and Leukoencephalopathy (CADASIL)  8. Metachromatic leukodystrophy  9. Sjögren's syndrome-induced neuropathy  10. Jakob-Creutzfeldt disease  11. Multiple Sclerosis  12. Stroke or Transient Ischemic Attack (TIA) in cerebellum   13. Paraneoplastic cerebellar degeneration  14. Gluten Ataxia  15. Normal Pressure Hydrocephalus  16. Niemann-Pick disease type C  17. Prion diseases  18. Neuroacanthocytosis  19. Friedreich's Ataxia  20. Lyme disease  21. Posterior fossa tumor  22. Wilson disease  23. Hashimoto's encephalopathy   24. Cerebellar form of Parkinson's disease.	3	1	1	1		3	3		0
PMID_34260840-phenopacket-time-based_query.txt	Manual paste-in	Listeria monocytogenes bacteremia resulting in loss of fetus.	Most Likely Diagnosis:  1. Pylephlebitis (septic thrombophlebitis of the portal vein) secondary to ulcerative colitis exacerbation     Differential Diagnoses:      1. Pylephlebitis secondary to ulcerative colitis exacerbation  2. Toxic megacolon secondary to active ulcerative colitis  3. Preeclampsia with severe features  4. Intra-abdominal abscess secondary to ulcerative colitis  5. Inflammatory bowel disease-associated arthropathy  6. Meningitis  7. Brain abscess secondary to septicemia  8. Hepatic vein thrombosis (Budd-Chiari syndrome)  9. Hyperemesis gravidarum  10. Appendicitis in pregnancy  11. Cholestasis of pregnancy  12. Acute gastroenteritis  13. Diverticulitis  14. Ectopic pregnancy.	0	-1	-1	-1		0	0		0
PMID_34289280-phenopacket-time-based_query.txt	Manual paste-in	Cerebral amyloid angiopathy–related inflam- mation.	Most Likely Diagnosis:   CNS (Central Nervous System) Lymphoma     Differential Diagnosis (ranked from most likely to least likely):   1. CNS Lymphoma  2. Alzheimer's disease  3. Brain Abscess  4. Neurosyphilis  5. Brain tumour  6. Chronic Subdural Hematoma  7. Neurosarcoidosis  8. Creutzfeldt-Jakob Disease  9. Multiple Sclerosis  10. Normal Pressure Hydrocephalus  11. Metabolic Encephalopathy from organ dysfunction  12. Brain Metastasis  13. Meningitis  14. Vasculitis  15. Wernicke-Korsakoff syndrome  16. Herpes Encephalitis  17. Late-onset Seizure Disorder  18. Hypoglycemic Encephalopathy  19. Lupus Cerebritis  20. Lyme Neuroborreliosis	0	-1	-1	-1		0	0		0
PMID_34320292-phenopacket-time-based_query.txt	Manual paste-in	Cytomegalovirus-induced immune thrombocytopenia.	Most Likely Diagnosis: Thrombotic thrombocytopenic purpura (TTP)     Differential Diagnosis:   1. Thrombotic thrombocytopenic purpura (TTP)  2. Hemolytic uremic syndrome (HUS)  3. Disseminated intravascular coagulation (DIC)  4. Post-transplant lymphoproliferative disorder  5. Immune thrombocytopenic purpura (ITP)  6. Systemic lupus erythematosus (SLE)  7. Infectious cause (e.g. CMV or bacterial enteritis)  8. Graft-versus-host disease  9. Anti-phospholipid antibody syndrome  10. Atypical hemolytic uremic syndrome (aHUS)  11. Post-transplantation malignancy (i.e. Kaposi's Sarcoma)   12. Paroxysmal nocturnal hemoglobinuria (PNH)  13. Collagen vascular disease (i.e. Vasculitis)  14. Medication-related toxicity (i.e. cyclosporine toxicity)   15. IgA Nephropathy  16. Post-transplant nephrotic syndrome.	3	1	1	1		3	3		0
PMID_34379926-phenopacket-time-based_query.txt	Manual paste-in	Acute human immunodeficiency virus type 1 infection.	Most Likely Diagnosis:  Viral Encephalitis     Differential Diagnosis (ranked from most likely to least likely):  1. Viral Encephalitis  2. Meningitis  3. Neuroinvasive West Nile Virus Infection  4. Autoimmune Encephalitis  5. Multiple Sclerosis  6. Brain abscess  7. Lyme Disease  8. Systemic Lupus Erythematosus (SLE)  9. HIV Encephalopathy  10. Subacute Sclerosing Panencephalitis  11. Tuberculous Meningitis   12. Primary CNS lymphoma  13. Creutzfeldt-Jakob Disease	3	9	9	9		3	4		1
PMID_34407347-phenopacket-time-based_query.txt	Manual paste-in	Hereditary hemochromatosis.	Most Likely Diagnosis: Congestive heart failure      Differential Diagnoses:  1. Congestive heart failure  2. Renal failure  3. Chronic venous insufficiency  4. Hypothyroidism  5. Liver Cirrhosis   6. Obstructive sleep apnea  7. Lymphedema   8. Nephritic syndrome   9. Depression  10. Cushing's syndrome   11. Iron-deficiency anemia  12. Varicose veins   13. Hypoalbuminemia due to malnutrition   14. Addison's disease  15. Deep vein thrombosis	0	-1	-1	-1		0	0		0
PMID_34437787-phenopacket-time-based_query.txt	Manual paste-in	Relapsed acute myeloid leukemia (with wild-type NPM1 and newly identified internal tandem duplication mutation in FLT3).	Most Likely Diagnosis:      Relapsed acute myeloid leukemia     Differential Diagnosis (ranked from most likely to least likely):     1. Relapsed acute myeloid leukemia: Given this diagnosis and the patient's current health issues, they are likely in a relapse phase of AML.     2. Chemotherapy-induced nausea and vomiting: As AML is typically treated by chemotherapy, the nausea and vomiting experienced may be a side effect of ongoing treatment.     3. Gallstone-related cholecystitis: Cholecystitis is inflammation of the gallbladder, which is commonly caused by gallstones. Chemotherapy can increase the risk of gallstone formation, causing cholecystitis.     4. Pancreatitis secondary to chemotherapy: Chemotherapy can also lead to various gastrointestinal complications including pancreatitis.      5. Leukemia-related gastroenteritis: This is a possible cause if the leukemia cells have infiltrated the gastrointestinal tract.     6. Neutropenic sepsis: Severe neutropenia (low white blood cell count) is a common complication of AML that can lead to sepsis if bacteria enter the body.     7. Chemotherapy-induced neuropathy: Some chemotherapy drugs can cause peripheral neuropathy, a set of symptoms caused by damage to nerves that control the sensations and movements of our arms and legs.      8. Bone pain due to bone marrow invasion by leukemia cells.     9. Infectious gastritis/enteritis: The patient's nausea and vomiting could also possibly be due to an infectious cause.     10. Other side effects or complications of chemotherapy: For example, chemotherapy-induced mucositis or an allergic reaction to the chemotherapy drugs.	5	1	1	1		5	5		0
PMID_34525289-phenopacket-time-based_query.txt	Manual paste-in	Fear associated with coronavirus disease 2019 (Covid-19), causing suicidal ideation.	Most likely diagnosis: Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection leading to Covid-19 (Coronavirus Disease 2019)     Differential diagnosis ranked by probability:     1. Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection leading to Covid-19 (Coronavirus Disease 2019)  2. Co-infection, possible bacterial pneumonia  3. Seasonal influenza complicated by bacterial pneumonia  4. Anxiety-depression disorder leading to somatic symptoms  5. Chronic fatigue syndrome (Post-viral fatigue syndrome)  6. Somatic symptom disorder  7. Major depressive disorder with somatic symptoms  8. Pulmonary embolism  9. Lung neoplasms  10. Pulmonary tuberculosis  11. Human Immunodeficiency Virus (HIV) infection leading to opportunistic pneumonia.   12. Post-infectious cough.	2	4	4	1		2	2		0
PMID_34551232-phenopacket-time-based_query.txt	Manual paste-in	Systemic juvenile idiopathic arthritis.	Based on the available information, it appears to me that the most likely diagnosis for this child is:     1. Hirschsprung Enterocolitis      The robust differential diagnosis, ranked by probability might be:     1. Hirschsprung Enterocolitis  2. Sepsis secondary to Hirschsprung's  3. Fever of unknown origin  4. Allergic reaction  5. Juvenile rheumatoid arthritis     NOTE: Please consider that the presentation of certain conditions (Breast carcinoma, Autism, Neoplasm of the pancreas) listed in the last paragraph appears counterintuitive, it might be a clerical error as they generally do not apply to a 12-month-old.	4	5	5	5		4	4		0
PMID_34644476-phenopacket-time-based_query.txt	Manual paste-in	Severe acquired aplastic anemia after infection with severe acute respiratory syndrome coronavirus 2.	Most Likely Diagnosis: Idiopathic thrombocytopenic purpura (ITP)     Differential Diagnoses:   1. Idiopathic thrombocytopenic purpura (ITP)  2. Thrombotic thrombocytopenic purpura (TTP)  3. Acute lymphoblastic leukemia (ALL)  4. Immune thrombocytopenia secondary to recent infection  5. Von Willebrand Disease  6. Leukemia  7. Dengue Fever  8. Hemolytic Uremic Syndrome (HUS)  9. Henoch-Schonlein Purpura  10. Disseminated Intravascular Coagulation (DIC)  11. Drug-induced thrombocytopenia  12. Sepsis-induced thrombocytopenia  13. HIV-related thrombocytopenia  14. Chronic Kidney Disease-associated thrombocytopenia  15. Hereditary spherocytosis.   16. Hemophilia A or B  17. Aplastic Anemia  18. Pseudothrombocytopenia.	3	17	17	17		3	3		0
PMID_34706175-phenopacket-time-based_query.txt	Manual paste-in	Eosinophilic leukemia.	Most Likely Diagnosis: Behcet's disease     Differential Diagnoses, ranked from most likely to least likely:  1. Behcet's disease  2. Herpes simplex virus (HSV) infection triggering erythema multiforme  3. Stevens-Johnson Syndrome  4. Psoriasis with psoriatic arthritis  5. Squamous cell carcinoma of the oral cavity  6. Pemphigus vulgaris  7. Crohn's Disease with extra-intestinal manifestation  8. Immune thrombocytopenic purpura  9. Systemic lupus erythematosus  10. Sjögren's syndrome  11. Lichen planus  12. Bullous pemphigoid   13. Oral lichen planus  14. HIV infection leading to Candidiasis of mouth  15. Eosinophilic ulcer of the oral mucosa  16. Reiter’s syndrome  17. Drug reaction or side-effect  18. Pyostomatitis vegetans associated with inflammatory bowel disease.	0	-1	-1	-1		0	0		0
PMID_34758256-phenopacket-time-based_query.txt	Manual paste-in	Seizure from neurocysticercosis.	Most Likely Diagnosis: Temporal Lobe Epilepsy     Differential Diagnosis:     1. Temporal Lobe Epilepsy   2. Creutzfeldt-Jakob disease  3. Nonconvulsive Status Epilepticus  4. Frontal lobe epilepsy  5. Anti-LGI1 Limbic Encephalitis  6. Paraneoplastic limbic encephalitis  7. Neurosyphilis  8. Wernicke-Korsakoff syndrome  9. Delirium due to metabolic causes (Electrolyte disturbance, hypoglycemia)  10. Drug-induced seizures  11. Primary brain tumor or metastatic disease  12. Stroke (though less likely due to age and chronic symptoms)	0	-1	-1	-1		0	0		0
PMID_34788511-phenopacket-time-based_query.txt	Manual paste-in	Pneumocystis jirovecii pneumonia.	Most Likely Diagnosis: Autoimmune hepatitis     Differential Diagnosis ranked by probability:     1. Sjogren’s syndrome  2. Primary sclerosing cholangitis  3. Drug-induced Hepatitis  4. Wilson’s disease  5. Cryptogenic cirrhosis of the liver  6. Graft versus host disease  7. Primary biliary cholangitis  8. Hemochromatosis  9. Non-alcoholic fatty liver disease  10. Chronic viral hepatitis  11. Alcoholic liver disease  12. Budd-Chiari syndrome  13. Nonalcoholic steatohepatitis (NASH)  14. Liver cirrhosis  15. Malignant neoplasm in the liver.	0	-1	-1	-1		0	0		0
PMID_34818483-phenopacket-time-based_query.txt	Manual paste-in	Erysipelothrix rhusiopathiae infection.	Most likely diagnosis: Cellulitis     Differential Diagnosis:  1. Cellulitis: the sudden onset and rapidly spreading erythema signals skin and soft tissue infection.  2. Paronychia: a hand infection that starts as localized redness and swelling around the fingernail.  3. Acute arthritis.  4. Gout: Less likely due to the age of the patient.  5. Sepsis: localized infection can potentially progress and cause this.   6. Erysipelas: a skin infection, similar to cellulitis, but involves different skin layers.  7. Necrotizing fasciitis: rare, but a rapidly spreading erythema suggests assessing for this.  8. Traumatic injury precipitating infection or complex regional pain syndrome.  9. Dactylitis: inflammation of an entire digit.  10. Insect or spider bite leading to localized infection or reaction.	3	6	6	-1		3	0		3
PMID_34879452-phenopacket-time-based_query.txt	Manual paste-in	Anti–melanoma differentiation–associated protein 5 (anti–MDA-5) dermatomyositis.	Based on the provided case details, my most likely diagnosis is Adult-Onset Still's Disease (AOSD) Here's my robust differential diagnosis in decreasing order of probability:  1. Adult-Onset Still's Disease (AOSD)  2. Systemic Lupus Erythematosus (SLE)  3. Behçet's Disease  4. Sweet’s Syndrome (Acute Febrile Neutrophilic Dermatosis)  5. Sarcoidosis  6. Rheumatoid Arthritis  7. Secondary Syphilis  8. HIV Infection  9. Lymphoma  10. Hepatocellular carcinoma related chronic inflammation  11. Familial Mediterranean Fever  12. Gout or Pseudogout  13. Reiter's Syndrome  14. Psoriatic Arthritis  15. Leukemia  16. Urticarial Vasculitis  17. Drug-Induced Lupus	0	-1	-1	-1		0	0		0
PMID_34910867-phenopacket-time-based_query.txt	Manual paste-in	Lead poisoning	Most likely diagnosis: Gastric adenocarcinoma with metastasis to the brain      Differential Diagnoses:      1. Gastric adenocarcinoma with metastasis to the brain  2. Non-Hodgkin's lymphoma with central nervous system involvement   3. Pancreatic cancer with brain metastasis  4. Neuroendocrine tumor with brain metastasis  5. Metastatic colon cancer with brain involvement   6. Paraneoplastic syndrome secondary to an undiagnosed malignancy   7. Advanced Chronic liver disease with hepatic encephalopathy  8. Alzheimer's disease with comorbid gastrointestinal disease  9. Stroke with gastrointestinal complications  10. Cerebral metastasis from an unknown primary site with concurrent gastrointestinal symptoms  11. Vascular dementia with comorbid gastrointestinal disease.	0	-1	-1	-1		0	0		0
PMID_34936743-phenopacket-time-based_query.txt	Manual paste-in	Fat embolism syndrome	No questions, I am ready to provide the analysis.     The most likely diagnosis:   1. Acute Respiratory Distress Syndrome (ARDS) secondary to a possible systemic infection or sepsis.     The differential diagnoses with descending order of probability:  1. Sepsis-induced ARDS  2. Pneumonia  3. Neuropathic ARDS  4. Autoimmune pulmonary disease (e.g. Systemic Lupus Erythematosus)  5. Pulmonary embolism  6. Drug-induced lung injury  7. Acute heart failure causing pulmonary edema  8. Neurogenic Pulmonary Edema secondary to increased intracranial pressure  9. Toxic Inhalation injury  10. Mental health related disorder (e.g. panic disorder) leading to hyperventilation syndrome and subsequent respiratory alkalosis  11. Metabolic causes such as Diabetic Ketoacidosis.	3	5	5	5		3	3		0
PMID_34965341-phenopacket-time-based_query.txt	Manual paste-in	Moyamoya disease.	Most Likely Diagnosis: Brainstem Glioma      Differential Diagnosis:  1. Brainstem Glioma  2. Metastatic Lymphoma in the Brain  3. Intracranial Neoplasm due to spread of an existing cancer  4. Neurological manifestation of Ulcerative Colitis  5. Stroke  6. Bell's Palsy  7. Multiple Sclerosis  8. Lyme Disease  9. Vasculitis  10. Brain Abscess  11. Meningitis  12. Ramsay Hunt Syndrome  13. Neurosarcoidosis  14. Transient Ischemic Attack (TIA)   15. Conversion Disorder  16. Metabolic Disorders like Hypoglycemia or Hyperglycemia  17. Epilepsy	0	-1	-1	-1		0	0		0
